EVENT ID,EVENT STATUS,LOG LEVEL
ABSTRACT,NOTSET,NOTSET
DIAGNOSTIC,NOTSET,NOTSET
DISCORD_BOT,INIT,DEBUG
DISCORD_BOT,INIT_FAILED,ERROR
DISCORD_BOT,ON_READY,DEBUG
DISCORD_BOT,CLEANUP,DEBUG
DISCORD_BOT,CLOSE,DEBUG
DISCORD_BOT,NOTIFY,INFO
DISCORD_BOT,NOTIFY_FAILED,ERROR
DISCORD_BOT,RUN_FAILED,CRITICAL
DISCORD_COG_NOTIFICATION,INIT,DEBUG
DISCORD_COG_NOTIFICATION,INIT_FAILED,ERROR
DISCORD_COG_NOTIFICATION,COG_LOAD,DEBUG
DISCORD_COG_NOTIFICATION,COG_UNLOAD,DEBUG
DISCORD_COG_NOTIFICATION,ON_MESSAGE,INFO
DISCORD_COG_NOTIFICATION,SHUTDOWN_SIGNAL,CRITICAL
DISCORD_COG_BASIC_COMMAND,INIT,DEBUG
DISCORD_COG_BASIC_COMMAND,INIT_FAILED,ERROR
DISCORD_COG_BASIC_COMMAND,COG_LOAD,DEBUG
DISCORD_COG_BASIC_COMMAND,COG_UNLOAD,DEBUG
DISCORD_COG_BASIC_COMMAND,STATUS,DEBUG
DISCORD_COG_WEB_SCRAPER,INIT,DEBUG
DISCORD_COG_WEB_SCRAPER,INIT_FAILED,ERROR
DISCORD_COG_WEB_SCRAPER,COG_LOAD,DEBUG
DISCORD_COG_WEB_SCRAPER,COG_UNLOAD,DEBUG
DISCORD_COG_WEB_SCRAPER,MAINFUNCTION_MANGAFEED_CYCLE_START,DEBUG
DISCORD_COG_WEB_SCRAPER,MAINFUNCTION_MANGAFEED_CYCLE_END,DEBUG
DISCORD_COG_WEB_SCRAPER,MAINFUNCTION_MANGAFEED_CYCLE_CANCEL,WARNING
DISCORD_COG_WEB_SCRAPER,MAINFUNCTION_SALEPRICE_CYCLE_START,DEBUG
DISCORD_COG_WEB_SCRAPER,MAINFUNCTION_SALEPRICE_CYCLE_END,DEBUG
DISCORD_COG_WEB_SCRAPER,COMMAND_WISHLIST_UNSUPPORTED,WARNING
DISCORD_COG_WEB_SCRAPER,COMMAND_WISHLIST_LIST,INFO
DISCORD_COG_WEB_SCRAPER,COMMAND_WISHLIST_RESTART,INFO
DISCORD_COG_WEB_SCRAPER,COMMAND_WISHLIST_UPDATE_UNSUPPORTED,WARNING
DISCORD_COG_WEB_SCRAPER,COMMAND_WISHLIST_UPDATE_ADD,INFO
DISCORD_COG_WEB_SCRAPER,COMMAND_WISHLIST_UPDATE_REMOVE,INFO
PUSHOVER,HTTPS_CONNECTION_FAILED,ERROR
PUSHOVER,REQUEST_FAILED,ERROR
PUSHOVER,GET_RESPONSE_FAILED,ERROR
PUSHOVER,SUCCEED,INFO
WEBSCRAPER,MANGA4LIFE_INIT,DEBUG
WEBSCRAPER,MANGA4LIFE_INIT_FAILED,ERROR
WEBSCRAPER,MANGA4LIFE_LOGIN,DEBUG
WEBSCRAPER,MANGA4LIFE_LOGIN_FAILED,ERROR
WEBSCRAPER,MANGA4LIFE_NOT_LOGGED,ERROR
WEBSCRAPER,MANGA4LIFE_GET_FEED_SUCCEED,DEBUG
WEBSCRAPER,MANGA4LIFE_GET_FEED_FAILED,WARNING